afraid,{'top':                                query  value
0                          afraid of    100
1                     afraid meaning     78
2                         not afraid     59
3               afraid meaning hindi     41
4            afraid meaning in hindi     39
5                  meaning of afraid     25
6                        i am afraid     20
7           we are not afraid to die     12
8         afraid of meaning in hindi     11
9                  not afraid lyrics     10
10         afraid meaning in english      9
11               i am afraid meaning      7
12          afraid meaning in telugu      6
13           afraid meaning in tamil      5
14         afraid meaning in marathi      4
15                      afraid means      4
16      i am afraid meaning in hindi      3
17                   afraid synonyms      3
18  we are not afraid to die summary      3
19          eminem not afraid lyrics      3
20        are you afraid of the dark      2
21         afraid meaning in bengali      2
22             tigers are not afraid      2
23       afraid meaning in malayalam      2
24         afraid meaning in punjabi      1, 'rising':                                      query  value
0           नेकेड एंड अफ्रेड डिस्कवरी चैनल  12400
1             we are not afraid to die pdf    190
2              afraid meaning in malayalam     80
3                afraid meaning in bengali     70
4  why was the young seagull afraid to fly     60
5               afraid of meaning in hindi     50}
