Rank,States,Total,Urban,Rural,Average,Urban_2020,Rural_2020,Average_2020
1,Meghalaya,1.5,6.7,0.6,3.65,7.571,0.678,4.1245
2,Chhattisgarh,3.3,7.5,2.5,5,8.475,2.825,5.65
3,Goa,3.5,5.8,2.7,4.25,6.554,3.051,4.8025
4,Andhra Pradesh,4.5,6.6,3.6,5.1,7.458,4.068,5.763
4,Madhya Pradesh,4.5,7.7,3.6,5.65,8.701,4.068,6.3845
6,Sikkim,4.6,6.5,3.8,5.15,7.345,4.294,5.8195
7,Gujarat,1.2,0.5,1.9,1.2,0.565,2.147,1.356
7,Karnataka,4.8,6.5,3.9,5.2,7.345,4.407,5.876
9,Maharashtra,4.9,7.4,3.3,5.35,8.362,3.729,6.0455
10,Rajasthan,5,7.2,4.5,5.85,8.136,5.085,6.6105
11,Jammu and Kashmir,5.3,10,4.2,7.1,11.3,4.746,8.023
12,Himachal Pradesh,5.5,8.7,5.2,6.95,9.831,5.876,7.8535
13,Arunachal Pradesh,5.9,9.9,5.3,7.6,11.187,5.989,8.588
14,Uttar Pradesh,6.4,9.7,5.5,7.6,10.961,6.215,8.588
15,Odisha,7.1,8.3,6.9,7.6,9.379,7.797,8.588
16,Bihar,7.2,9,7,8,10.17,7.91,9.04
17,Tamil Nadu,7.6,7.2,7.9,7.55,8.136,8.927,8.5315
17,Telangana,7.6,9.4,6.5,7.95,10.622,7.345,8.9835
17,Uttarakhand,7.6,9.5,6.9,8.2,10.735,7.797,9.266
20,Jharkhand,7.7,10.5,7.1,8.8,11.865,8.023,9.944
21,Punjab,7.8,7.7,7.8,7.75,8.701,8.814,8.7575
22,Assam,8.1,6.3,8.3,7.3,7.119,9.379,8.249
23,Haryana,8.6,7.3,9.3,8.3,8.249,10.509,9.379
24,Mizoram,10.1,14.4,6.5,10.45,16.272,7.345,11.8085
25,West Bengal,11.4,13.2,10,11.6,14.916,11.3,13.108
26,Manipur,11.6,11.4,11.6,11.5,12.882,13.108,12.995
27,Kerala,13.9,13.8,13.9,13.85,15.594,15.707,15.6505
28,Nagaland,21.4,21.1,21.6,21.35,23.843,24.408,24.1255
29,Tripura,30,30,30,30,33.9,33.9,33.9
#1,Dadra and Nagar Haveli,0.4,0.1,0.7,0.4,0.113,0.791,0.452
#2,Daman & Diu,3.1,2.6,6.2,4.4,2.938,7.006,4.972
#3,Chandigarh,9,9.2,3.5,6.35,10.396,3.955,7.1755
#4,Delhi,9.7,9.8,3.5,6.65,11.074,3.955,7.5145
#5,Pondicherry,10.3,10.3,10.4,10.35,11.639,11.752,11.6955
#6,Andaman and Nicobar Islands,15.8,17.4,14.7,16.05,19.662,16.611,18.1365
#7,Lakshadweep,21.3,25.3,13.3,19.3,28.589,15.029,21.809
