State_name,State_url,State_Jan,State_Feb,State_March,State_April,State_May,State_June,Total
Andaman and Nicobar Islands,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=1,1,0,1,0,0,0,2
Andhra Pradesh,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=2,12,10,10,14,11,1,58
Assam,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,5,2,7,10,6,1,31
Bihar,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=5,49,51,52,54,78,1,285
Chandigarh,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=6,3,1,4,3,2,0,13
Chhattisgarh,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,9,10,5,17,7,2,50
Dadra and Nagar Haveli,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=8,0,0,0,0,3,0,3
Daman & Diu,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=9,0,0,0,0,1,0,1
Delhi,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,132,104,154,128,217,8,743
Goa,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=11,0,2,2,3,1,0,8
Gujarat,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=12,8,14,14,15,16,2,69
Haryana,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,73,77,76,40,73,5,344
Himachal Pradesh,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,3,3,5,6,9,0,26
Jammu and Kashmir,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=15,2,5,2,6,5,1,21
Jharkhand,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,15,13,11,13,19,3,74
Karnataka,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,27,23,26,35,56,2,169
Kerala,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=18,6,5,6,10,23,0,50
Madhya Pradesh,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,55,42,51,34,56,8,246
Maharashtra,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,55,57,52,95,118,11,388
Manipur,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=22,0,1,0,2,1,0,4
Meghalaya,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=23,0,0,2,0,0,0,2
Odisha,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,9,7,9,9,9,0,43
Pondicherry,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=27,1,1,0,0,0,0,2
Punjab,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,18,15,21,26,42,3,125
Rajasthan,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,51,57,48,39,83,1,279
Tamil Nadu,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=31,23,24,32,27,46,2,154
Telangana,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=38,13,16,17,10,20,1,77
Tripura,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=32,0,1,0,0,0,0,1
Uttar Pradesh,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=33,851,847,699,159,530,36,3122
Uttarakhand,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,17,17,17,9,21,1,82
West Bengal,http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=35,24,19,24,36,47,2,152
Total,,1462,1424,1347,800,1500,91,6624
